title,pubyear,cen,auth,auth_gen,dedication
The Intuitionist,1999,20th century,Colson Whitehead,Man,for my parents
Tuff,2000,21st century,Paul Beatty,Man,"To paraphrase the immortal Biggie Smalls — 
This book is dedicated to all my niggers in the struggle, both literary and 
real: Nigger Jim, Queequeg, Dilsey, Candide, Uncle Tom, Teacake, Dan
“Spook” Freeman, Stagolee; Al and Ronald, Jerry, Charlie and Billy, 
T. Morrow, DCP, D.W., Lawson, and Toi Russell."
White Teeth,2000,21st century,Zadie Smith,Woman,"To my mother and my father
And for Jimmi Rahman"
John Henry Days,2001,21st century,Colson Whitehead,Man,To N. S.
The Dying Ground: A Maceo Redfield Novel,2001,21st century,Nichelle D. Tramble,Woman,"To Daddy and Blaik, 
angels I knew for a while, 
and 
Judy Faye Tramble, 
my angel here on earth"
Fearless Jones,2001,21st century,Walter Mosley,Man,"Dedicated to Clyde Taylor 
and Manthia Diawara"
Leaving Atlanta ,2002,21st century,Tayari Jones,Woman,"Twenty-nine 
and more"
The Known World,2003,21st century,Edward P. Jones,Man,"TO MY BROTHER
   JOSEPH V. JONES 

and, again,

To THE MEMORY OF OUR MOTHER, 
   JEANETTE S. M. JONES 
who could have done much more in a better world."
Purple Hibiscus,2003,21st century,Chimamanda Ngozi Adichie,Woman,"For 
Professor James Nwoye Adichie 
and 
Mrs. Grace Ifeoma Adichie, 
my parents, my heroes, ndi o ga-adili mma."
Half of a Yellow Sun,2006,21st century,Chimamanda Ngozi Adichie,Woman,"My grandfathers, whom I never knew, 
Nwoye David Adichie and Aro-Nweke Felix Odigwe, 
did not survive the war. 
My grandmothers, Nwabuodu Regina Odigwe and 
Nwamgbafor Agnes Adiche, remarkable women 
both, did. 
This book is dedicated to their memories: 
ka fa nodu na ndokwa. 
And to Mellitus, wherever he may be."
Apex Hides the Hurt,2007,21st century,Colson Whitehead,Man,For Nicole Aragi
A Mercy ,2008,21st century,Toni Morrison,Woman,"To R.G. 
For decades of wit, insight and intellect. 
Thank you"
Slumberland ,2008,21st century,Paul Beatty,Man,"For Yvonne Beatty, 
my mother"
Where the Line Bleeds,2008,21st century,Jesmyn Ward,Woman,"For Joshua Adam Dedeaux, 
who leads while I follow."
Sag Harbor,2009,21st century,Colson Whitehead,Man,For Maddie
Black Water Rising,2009,21st century,Attica Locke,Woman,FOR MY GRANDFATHER
Big Machine,2009,21st century,Victor LaValle,Man,"FOR OAKLAND, 
CITY FULL OF GOOD"
Salvage the Bones ,2011,21st century,Jesmyn Ward,Woman,"For my brother, Joshua Adam Dedeaux, 
who leads while I follow"
Zone One,2011,21st century,Colson Whitehead,Man,To Bill Thomas
Silver Sparrow,2011,21st century,Tayari Jones,Woman,"For my parents, 
Barbara and Mack Jones, 
who, to the best of my knowledge, 
are married only to each other"
The Twelve Tribes of Hattie ,2012,21st century,Ayana Mathis,Woman,"For my mother, 
and for Grandmom 
and Grandpop"
The Devil in Silver,2012,21st century,Victor LaValle,Man,"For Gloria Loomis, 
who I love like family"
Americanah,2013,21st century,Chimamanda Ngozi Adichie,Woman,"This book is for our next generation, ndi na-abia n' iru: 
Toks, Chisom, Amaka, Chinedum, Kamsiyonna, and Arinze. 

For my wonderful father in this, his eightieth year. 
And, as always, for Ivara."
A Brief History of Seven Killings,2014,21st century,Marlon James,Man,"To Maurice James 
An extraordinary gentleman in a league of his own."
God Help the Child,2015,21st century,Toni Morrison,Woman,For You
The Sellout,2015,21st century,Paul Beatty,Man,For Althea Amrik Wasow
The Fifth Season,2015,21st century,N. K. Jemisin,Woman,"For all those who have to fight for the respect that everyone else is 
given without question"
The Underground Railroad,2016,21st century,Colson Whitehead,Man,"For
Julie"
Homegoing,2016,21st century,Yaa Gyasi,Woman,For my parents and for my brothers
The Ballad of Black Tom,2016,21st century,Victor LaValle,Man,"For H. P. Lovecraft, with all my conflicted feelings"
The Obelisk Gate ,2016,21st century,N. K. Jemisin,Woman,"To those who have no choice but to prepare their children for
the battlefield"
Swing Time,2016,21st century,Zadie Smith,Woman,"For my mother, Yvonne"
The Mothers,2016,21st century,Brit Bennett,Woman,"For Mom, Dad, Brianna, and Jynna"
"Sing, Unburied, Sing",2017,21st century,Jesmyn Ward,Woman,"          For my mother, Norine Elizabeth Dedeaux, 
          who loved me before I took my first breath. 
          Every second of my life, she shows me so."
The Hate U Give,2017,21st century,Angie Thomas,Woman,"For Grandma, who showed me 
there can be light in the darkness"
"Bluebird, Bluebird",2017,21st century,Attica Locke,Woman,"To the 
Hathorne 
Jackson 
Johnson 
Jones 
Locke 
Mark 
McClendon 
McGowan 
Perry 
Sweats 
Williams 
men and women who said no"
The Stone Sky,2017,21st century,N. K. Jemisin,Woman,"To those who've surived: Breathe. That's it. Once more. Good. 
You're good. Even if you're not, you're alive. That is a victory."
Children of Blood and Bone,2018,21st century,Tomi Adeyemi,Woman,"To Mom and Dad—
who sacrificed everything to give me this chance"
An American Marriage ,2018,21st century,Tayari Jones,Woman,"For my mother's sister, Alma Faye, 
and for Maxine & Marcia, my own"
American Spy,2019,21st century,Lauren Wilkinson,Woman,"For my mother, Linda Perry"
The Nickel Boys,2019,21st century,Colson Whitehead,Man,For Richard Nash
The Vanishing Half,2020,21st century,Brit Bennett,Woman,For my family—present and past
Harlem Shuffle ,2021,21st century,Colson Whitehead,Man,for Beckett
The Other Black Girl,2021,21st century,Zakiya Dalila Harris,Woman,For my family—present and past
The Prophets,2021,21st century,"Robert Jones, Jr.",Man,"For my grandmothers Corrine and Ruby, 
my grandfathers Alfred and George,  
my great-uncles Milton, Charles, Cephas, and Herbert, 
my father Robert, my cousins Trebor, Tracey, and 
Daishawn, my godparents Delores Marie and 
Daniel Lee, Mother Morrison and Father Baldwin, 
and all of my elders and relatives who have passed on 
over, who are now with the ancestors, who are now, 
themselves, ancestors, guiding and protecting me, 
whispering to me so that I, too, 
might share the testimony. "
How Beautiful We Were,2021,21st century,Imbolo Mbue,Woman,"For my beautiful, beautiful children"
Yonder,2022,21st century,Jabari Asim,Man,"To my parents, for showing me
the possibilities of love. 

To Liana, who embodies them."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
